TotalSlamTime,SlamTime,TransmitionTime,RenderTime,VideoTime
116,0.004177998751401901,115.9958220012486,10,6
65,56.03067599982023,8.969324000179768,2,3
18,9.261085998266935,8.738914001733065,2,5
15,7.360351998358965,7.639648001641035,2,4
15,7.066620998084545,7.933379001915455,2,4
14,6.1836760006845,7.8163239993155,3,0
17,6.614252999424934,10.385747000575066,2,4
16,6.717195998877287,9.282804001122713,2,2
17,6.850175000727177,10.149824999272823,1,3
17,7.325046002864838,9.674953997135162,2,4
15,6.919886000454426,8.080113999545574,3,4
15,6.5227110013365746,8.477288998663425,2,1
17,6.765076000243425,10.234923999756575,3,4
16,6.8929149992764,9.1070850007236,3,3
14,6.881193000823259,7.118806999176741,3,4
15,6.747512999922037,8.252487000077963,2,4
16,7.069536998867989,8.930463001132011,3,4
17,7.487880997359753,9.512119002640247,2,0
81,72.38646499812603,8.61353500187397,2,4
38,27.758621998131275,10.241378001868725,1,3
30,18.416554000228643,11.583445999771357,3,4
29,18.48641499876976,10.51358500123024,3,5
19,9.581285998225212,9.418714001774788,1,4
53,45.43166099861264,7.568339001387358,3,4
34,22.663667000830173,11.336332999169827,2,4
28,16.662665002048016,11.337334997951984,3,3
22,13.72316299751401,8.27683700248599,3,3
18,9.792422998696566,8.207577001303434,2,5
48,39.818325001746416,8.181674998253584,1,4
28,18.910519998520613,9.089480001479387,3,4
26,16.24320799857378,9.75679200142622,2,5
19,9.608327001333237,9.391672998666763,2,4
20,12.478799000382423,7.521200999617577,2,4
48,37.41651200130582,10.583487998694181,2,4
25,13.175806999206543,11.824193000793457,2,3
19,10.206750001758337,8.793249998241663,2,3
20,12.368673998862505,7.631326001137495,2,4
21,12.11345500126481,8.88654499873519,1,8
57,44.426766999065876,12.573233000934124,2,6
22,12.86658699810505,9.13341300189495,1,4
21,12.67475700005889,8.32524299994111,1,5
21,11.94361599907279,9.05638400092721,3,4
20,11.695931997150183,8.304068002849817,2,4
53,39.83217100054026,13.167828999459743,2,0
21,12.371927998960018,8.628072001039982,2,4
19,10.161465000361204,8.838534999638796,2,3
19,10.004099998623133,8.995900001376867,2,3
17,9.41295100003481,7.587048999965191,3,4
48,39.334968999028206,8.665031000971794,4,0
21,12.884489998221397,8.115510001778603,2,3
18,9.720456998795271,8.279543001204729,1,4
17,9.081719998270273,7.918280001729727,3,0
17,9.767875999212265,7.232124000787735,3,4
50,42.5349089987576,7.465091001242399,3,3
20,11.559965997934341,8.440034002065659,2,5
21,10.571003001183271,10.428996998816729,3,6
19,8.718438997864723,10.281561002135277,1,0
19,10.720583003014326,8.279416996985674,2,6
53,41.807445000857115,11.192554999142885,2,6
21,11.88256200030446,9.11743799969554,2,4
21,10.427083000540733,10.572916999459267,2,0
21,10.510297998785973,10.489702001214027,2,6
21,9.953604001551867,11.046395998448133,2,5
54,47.08662600070238,6.913373999297619,3,4
23,12.750780001282692,10.249219998717308,2,4
21,12.11446600034833,8.88553399965167,2,5
20,11.161839999258518,8.838160000741482,2,4
20,10.89818499982357,9.10181500017643,3,5
60,49.854573998600245,10.145426001399755,3,4
23,13.176608998328447,9.823391001671553,2,5
23,12.691677998751402,10.308322001248598,2,5
22,11.574605002999306,10.425394997000694,1,6
21,11.475898999720812,9.524101000279188,1,5
20,9.676744997501373,10.323255002498627,2,5
54,44.662328999489546,9.337671000510454,2,5
22,14.098996996879578,7.901003003120422,3,5
22,13.0265769995749,8.9734230004251,1,4
37,10.8192979991436,26.1807020008564,3,5
40,12.6323870010674,27.3676129989326,2,5
54,45.607290998101234,8.392709001898766,2,5
21,12.606989998370409,8.393010001629591,1,4
18,9.470608998090029,8.529391001909971,2,6
29,10.581422001123428,18.41857799887657,2,2
17,9.305950000882149,7.694049999117851,2,0
51,43.64681399986148,7.353186000138521,2,6
18,10.919796999543905,7.080203000456095,2,6
21,12.261783000081778,8.738216999918222,1,4
21,11.697334002703428,9.302665997296572,1,6
20,10.781998001039028,9.218001998960972,2,0
52,43.76432500034571,8.235674999654293,3,4
24,14.123844999819994,9.876155000180006,4,5
22,12.767620999366045,9.232379000633955,2,5
21,11.666085001081228,9.333914998918772,2,0
21,12.258356999605894,8.741643000394106,2,5
19,11.546911999583244,7.453088000416756,3,4
55,43.33178299665451,11.66821700334549,2,3
23,14.336123000830412,8.663876999169588,2,5
22,13.085477001965046,8.914522998034954,2,0
22,13.177149001508951,8.822850998491049,2,6
20,11.411208000034094,8.588791999965906,2,5
20,11.340243998914957,8.659756001085043,2,5
17,9.617254000157118,7.382745999842882,2,5
51,42.470819000154734,8.529180999845266,3,3
20,11.179402999579906,8.820597000420094,2,4
20,12.498105999082327,7.501894000917673,2,5
18,9.637501999735832,8.362498000264168,2,5
19,10.723296999931335,8.276703000068665,1,5
53,45.48134500160813,7.518654998391867,2,5
21,13.34731800109148,7.65268199890852,2,5
20,12.078187998384237,7.921812001615763,1,4
19,10.943750999867916,8.056249000132084,2,4
20,10.47477200254798,9.52522799745202,2,2
54,45.875374000519514,8.124625999480486,3,4
25,14.26614199951291,10.73385800048709,2,4
24,12.447510998696089,11.552489001303911,3,5
20,11.945469997823238,8.054530002176762,3,6
21,11.27352900058031,9.72647099941969,2,6
22,12.288022000342607,9.711977999657393,2,5
22,11.152862999588251,10.847137000411749,1,5